datetime,precipRate,precipTotal
2026-02-04 00:59:00,,
2026-02-04 01:59:00,,
2026-02-04 02:59:00,,
2026-02-04 03:59:00,,
2026-02-04 04:59:00,,
2026-02-04 05:59:00,,
2026-02-04 06:59:00,4.8,0.79
2026-02-04 07:59:00,66.6,11.91
2026-02-04 08:59:00,0.0,11.91
2026-02-04 09:59:00,0.0,11.91
2026-02-04 10:56:00,,
2026-02-04 11:59:00,0.0,11.91
2026-02-04 12:59:00,,
2026-02-04 13:59:00,47.4,19.81
2026-02-04 14:59:00,47.4,19.81
2026-02-04 15:59:00,0.0,19.81
2026-02-04 16:59:00,0.0,19.81
2026-02-04 17:59:00,0.0,19.81
2026-02-04 18:59:00,0.0,19.81
2026-02-04 19:59:00,0.0,19.81
2026-02-04 20:59:00,0.0,19.81
2026-02-04 21:59:00,0.0,19.81
2026-02-04 22:59:00,0.0,19.81
2026-02-04 23:59:00,0.0,19.81
2026-02-05 00:59:00,0.0,0.0
2026-02-05 01:59:00,0.0,0.0
2026-02-05 02:59:00,0.0,0.0
2026-02-05 03:59:00,0.0,0.0
2026-02-05 04:59:00,0.0,0.0
2026-02-05 05:59:00,0.0,0.0
2026-02-05 06:59:00,0.0,0.0
2026-02-05 07:59:00,0.0,0.0
2026-02-05 08:59:00,0.0,0.0
2026-02-05 09:58:00,0.0,0.0
2026-02-05 10:59:00,0.0,0.0
2026-02-05 11:59:00,0.0,0.0
2026-02-05 12:59:00,0.0,0.0
2026-02-05 13:59:00,0.0,0.0
2026-02-05 14:59:00,0.0,0.0
2026-02-05 15:59:00,0.0,0.0
2026-02-05 16:59:00,0.0,0.0
2026-02-05 17:59:00,0.0,0.0
2026-02-05 18:59:00,0.0,0.0
2026-02-05 19:59:00,0.0,0.0
2026-02-05 20:59:00,0.0,0.0
2026-02-05 21:54:00,0.0,0.0
2026-02-05 22:59:00,0.0,0.51
2026-02-05 23:59:00,0.0,0.51
2026-02-06 00:59:00,84.0,14.0
2026-02-06 01:59:00,22.81,17.81
2026-02-06 02:59:00,11.99,20.09
2026-02-06 03:59:00,48.59,28.19
2026-02-06 04:59:00,48.59,30.2
2026-02-06 05:59:00,15.6,32.79
2026-02-06 06:59:00,4.19,33.81
2026-02-06 07:59:00,0.0,33.81
2026-02-06 08:59:00,0.0,33.81
2026-02-06 09:45:00,5.99,34.8
2026-02-06 10:59:00,1.8,34.29
2026-02-06 11:59:00,1.19,34.29
2026-02-06 12:59:00,0.0,34.29
2026-02-06 13:59:00,1.8,34.59
2026-02-06 14:59:00,0.0,34.59
2026-02-06 15:59:00,0.0,34.59
